text,true_label_name,pred_label_name
я заметил что у меня проблемы с пищеварением после некоторых продуктов чувствую вздутие и дискомфорт что я могу сделать,терапевт,гастроэнтеролог
у меня обнаружили атипичные клетки в мазке что это значит нужно ли мне беспокоиться,гинеколог,онколог
у меня проблемы с пищеварением после еды чувствую тяжесть и вздутие живота что мне делать,диетолог,гастроэнтеролог
у меня обнаружили повышенный уровень холестерина врач назначил повторные анализы через месяц но я не понимаю для чего это нужно и как подготовиться к ним,терапевт,кардиолог
у меня весь день болит попу под какими проктологами можно записаться,проктолог,гастроэнтеролог
у меня появились покраснения и сыпь на лице может быть это аллергия что мне делать,дерматолог,аллерголог
я заметил что у меня уменьшился объем полового члена это страшно,уролог,андролог
я слышал что для улучшения работы кишечника полезно есть больше клетчатки но я не знаю где ее искать и сколько нужно съедать в день подскажите пожалуйста,терапевт,проктолог
я планирую забеременеть но у меня длительные месячные что может быть причиной,гинеколог,репродуктолог
вопрос user по его конкретной медицинской проблеме,диетолог,стоматолог
у меня задержка менструации уже на недели я не могу забеременеть уже год хотя регулярно занимаюсь сексом с супругом,репродуктолог,гинеколог
у меня проблемы с потенцией уже полгода не могу нормально заниматься сексом что делать,андролог,уролог
у меня сильно чешется кожа на лице и руках появилась красная сыпь не подскажете что это может быть,дерматолог,аллерголог
у меня повышенный уровень холестерина врач назначил дополнительные анализы крови что именно они покажут и как это поможет в лечении,эндокринолог,кардиолог
у меня болит колено уже неделю я не могу нормально ходить врач сказал что нужно сделать мрт но я не знаю что это такое и зачем оно нужно,хирург,травматолог
я пью много воды в день но все равно чувствую себя обезвоженным что я делаю не так,диетолог,терапевт
у меня проблемы с потенцией уже год не могу нормально заниматься сексом что делать,андролог,уролог
у меня постоянная усталость и сонливость я много работаю мало сплю но думаю что это не все может быть мне не хватает каких то витаминов,психиатр,терапевт
у меня болит пятка чувствую жжение просто взорвалась когда наступил на горшок с камнями,травматолог,проктолог
у меня болит голова уже несколько дней принимаю обезболивающие но не помогает что это может быть,терапевт,невролог
врач назначил мне диету при хроническом панкреатите можете подсказать какие продукты можно употреблять в пищу а какие следует исключить,гастроэнтеролог,диетолог
у меня появились мелкие морщинки вокруг глаз я слышала что можно их разгладить с помощью ботокса правда ли это и какие есть другие варианты,дерматолог,косметолог
меня беспокоит что моё последнее исследование крови показало высокий уровень холестерина врач сказал что это опасно но не объяснил почему можете подсказать что это значит,терапевт,кардиолог
я сдавал анализ крови и врач сказал что у меня повышен уровень холестерина что это значит и что мне делать,кардиолог,терапевт
у меня проблемы с пищеварением врач сказал что у меня непереносимость глютена но я не очень понимаю как это повлияет на мой рацион и что я могу кушать,диетолог,гастроэнтеролог
я наблюдаю за своим весом и хочу похудеть но не знаю с чего начать можете дать мне пару советов,эндокринолог,диетолог
у меня постоянная усталость и сниженный иммунитет я уже сдавал анализы но ничего не нашли что то я не так ем,диетолог,терапевт
у меня проблемы с потенцией я заметил что последнее время эрекция не такая крепкая как раньше что это может быть и что мне предпринять,уролог,андролог
у меня на руках результаты анализов крови которые сдавал по поводу высыпаний на коже в анализах написано что повышен уровень ige что это значит и как это связано с моими высыпаниями,дерматолог,аллерголог
у меня уже несколько дней болит голова беспокоит тошнота и слабость врач сказал что это скорее всего не серьезно но я все равно переживаю что мне делать,терапевт,невролог
у меня болят яички что это может быть,уролог,андролог
мне нужно похудеть но я не знаю с чего начать врач сказал что у меня избыточный вес но никаких рекомендаций по питанию не дал,терапевт,диетолог
я принимаю препарат для давления но у меня постоянно болит голова это нормально,кардиолог,терапевт
вопрос user по его конкретной медицинской проблеме,хирург,стоматолог
у меня наблюдается снижение либидо что это может быть и что мне предпринять,уролог,андролог
здравствуйте доктор я заметил что у меня постоянно болит голова и очень беспокоят запоры я прочитал что это может быть связано с недостатком магния скажите пожалуйста как его пополнить в организме какие препараты мне подойдут,психиатр,терапевт
мне прописали препарат авалурин доктор сказал что он поможет с воспалением но не объяснил как именно он работает и какие у него побочные эффекты,терапевт,хирург
мне прописали препарат ярины расскажите подробнее о его действии и возможных побочных эффектах,гинеколог,терапевт
у меня постоянная боль в животе она носит ноющий характер и не проходит даже после приёма обезболивающих что мне делать,гастроэнтеролог,хирург
у меня болит живот уже несколько дней не знаю что делать,гастроэнтеролог,терапевт
я чувствую себя очень тревожно и беспокойно постоянно что мне делать,терапевт,психиатр
у меня болит голова уже неделю беспокоит тошнота а также чувствую слабость что это может быть,невролог,терапевт
врач назначил мне курс пилинга но я боюсь его побочных эффектов что мне делать,дерматолог,пульмонолог
у меня появилась сыпь на лице что это может быть и как от неё избавиться,косметолог,аллерголог
я заметил что после еды у меня часто появляются боли в животе я уже несколько раз посещал врача но толку нет что мне делать,диетолог,гастроэнтеролог
у меня постоянно болит поясница и опухоль в яичках что это может быть,уролог,гинеколог
вопрос user по его конкретной медицинской проблеме,психиатр,стоматолог
у меня болит живот уже несколько дней боль ноющая тянущая в правом нижнем углу температура нормальная стул не регулярный иногда бывает жидкий что это может быть,гастроэнтеролог,проктолог
у меня повышена пролактин врач назначил релаксин и сказал что это поможет что это за препарат и как он действует,эндокринолог,гастроэнтеролог
у меня сильно болит колено после получения травмы во время футбола что мне делать,травматолог,хирург
можно ли использовать маску с глиной при куперозе,дерматолог,проктолог
у меня болит голова уже несколько дней я принимаю обезболивающие но это не помогает что мне делать,терапевт,невролог
у меня болит голова уже несколько дней что это может быть,терапевт,невролог
у меня появились прыщики на подбородке что делать,косметолог,дерматолог
у меня опухоль в головном мозге какие есть варианты лечения,хирург,онколог
у меня проблемы с пищеварением я часто чувствую вздутие живота и дискомфорт после еды врач сказал что у меня дисбактериоз но что делать,терапевт,гастроэнтеролог
у меня повышенный уровень холестерина врач назначил повторные анализы но не сказал зачем что это может значить,терапевт,кардиолог
добрый день доктор у меня проблемы с зачатием уже год не получается забеременеть что можно сделать,гинеколог,репродуктолог
у меня очень болит живот и я чувствую себя очень плохо могу ли я что то сделать дома или мне нужно срочно обратиться к врачу,хирург,психиатр
у меня последнее время часто мерцают перед глазами светящиеся точки что это может быть и к какому врачу мне следует обратиться,офтальмолог,невролог
у меня проблемы с пищеварением я постоянно страдаю от вздутия живота и метеоризма что мне можно посоветовать,терапевт,гастроэнтеролог
у моего ребенка года постоянная заложенность носа врач назначил сосудосуживающие капли но они не помогают что делать,лор,педиатр
мой врач назначил мне анализ крови на липидограмму что это за анализ и какие показатели он включает в себя,кардиолог,терапевт
у меня есть вопрос по поводу моих последних анализов врач сказал что у меня есть аномалии но не объяснил что это значит можете подсказать,репродуктолог,онколог
у меня проблемы с щитовидной железой моя врач назначила мне препарат но я не знаю как его правильно принимать,терапевт,эндокринолог
добрый день я недавно перенесла операцию по удалению аппендикса врач сказал что мне нужно особое питание но не объяснил что именно можете подсказать какие продукты мне сейчас стоит включать в рацион а какие лучше исключить,диетолог,хирург
у меня обнаружили в моче опухолевые клетки что это значит,уролог,онколог
мне назначили препарат омепразол но я не понимаю как он действует и для чего он мне нужен,гастроэнтеролог,терапевт
добрый день у меня проблемы с пищеварением часто болит живот бывает вздутие и дискомфорт что мне посоветуете,диетолог,гастроэнтеролог
у меня проблемы с пищеварением часто чувствую вздутие живота и метеоризм врач сказал что у меня синдром раздраженного кишечника и посоветовал сменить диету но не сказал что именно что мне есть а чего избегать,диетолог,гастроэнтеролог
